"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"UBXN10",861.802187059092,2.95304810930213,0.271351146316363,10.8827552394388,1.39288012738893e-27,3.35959247516019e-25,"UBXN10"
"ACHE",1809.63420332621,3.66021600418797,0.336765011025308,10.8687538323656,1.62403858252141e-27,3.86937094960009e-25,"ACHE"
"ATP6V1C2",346.458495711126,3.17343010186059,0.292020951827367,10.8671315602608,1.65316825931435e-27,3.89131907014753e-25,"ATP6V1C2"
"CKMT1B",1153.38218567298,2.31739896998848,0.213594269149654,10.8495372053489,2.00437633943103e-27,4.66184530279334e-25,"CKMT1B"
"RHCG",821.8679816737,6.22812805943978,0.578274585474748,10.7701915593034,4.76009777155521e-27,1.0940944725044e-24,"RHCG"
"PF4",88.8551498652923,4.45456804873435,0.414054901543036,10.7583995072483,5.41016006302659e-27,1.22904996687617e-24,"PF4"
"WNK2",4983.37336412738,2.72291703019637,0.25404642929535,10.7181865840388,8.36268334096993e-27,1.87795108543137e-24,"WNK2"
"TLX1",211.450040785291,3.73525392195919,0.34883313832367,10.7078528717457,9.35053056150991e-27,2.07592404068431e-24,"TLX1"
"SLC35D3",106.112452353639,5.23867443794203,0.490238841047643,10.6859636554846,1.1841283649139e-26,2.59936133318234e-24,"SLC35D3"
"SLC7A4",201.696312695107,4.1304867037257,0.387429847428031,10.6612506267809,1.54505649779018e-26,3.35397431081409e-24,"SLC7A4"
"EVX1",93.632206291783,5.40873360330199,0.508461460867823,10.6374504649194,1.99513927213744e-26,4.28341054502737e-24,"EVX1"
"DLX6",114.674754585294,5.22413951196701,0.491456960531312,10.62990237501,2.16338819095246e-26,4.5770432214256e-24,"DLX6"
"MUC12",1197.00380438546,4.41714776498003,0.415565645825066,10.6292418763592,2.17876347234775e-26,4.5770432214256e-24,"MUC12"
"TFAP2C",433.465072481243,3.77466980585554,0.35543258313343,10.6199318379276,2.40736841503128e-26,5.00348475792193e-24,"TFAP2C"
"KCNK6",3318.57440633209,1.59803855946029,0.150578076106832,10.6126907766209,2.60147355991297e-26,5.34999883579155e-24,"KCNK6"
"CFAP46",197.413058361662,4.07011156683315,0.383974756078082,10.59994570582,2.98153268574345e-26,6.06772959180934e-24,"CFAP46"
"OSBP2",815.146834012982,2.19864684970984,0.207794396901102,10.580876493779,3.65522676710376e-26,7.36207890194908e-24,"OSBP2"
